,CV,time,AHT,abandoned,avgAbandSec,inQueueSec,campaignid,minute,hour,day,week,time24
1,127,2018-05-01 07:30:00,507.6929133858268,127,0.0,1.3700787401574803,127,30,7,1,18,07:30:00
2,290,2018-05-01 08:00:00,570.9,290,0.14482758620689656,2.5551724137931036,290,0,8,1,18,08:00:00
3,338,2018-05-01 08:30:00,565.7692307692307,338,0.17159763313609466,5.5828402366863905,338,30,8,1,18,08:30:00
4,466,2018-05-01 09:00:00,572.9270386266095,466,8.82618025751073,23.90343347639485,466,0,9,1,18,09:00:00
5,580,2018-05-01 09:30:00,567.1689655172414,580,23.129310344827587,82.7448275862069,580,30,9,1,18,09:30:00
6,577,2018-05-01 10:00:00,600.1265164644714,577,10.400346620450607,90.09878682842287,577,0,10,1,18,10:00:00
7,512,2018-05-01 10:30:00,650.599609375,512,4.951171875,24.212890625,512,30,10,1,18,10:30:00
8,539,2018-05-01 11:30:00,616.0166975881261,539,5.769944341372913,66.63265306122449,539,30,11,1,18,11:30:00
9,550,2018-05-01 12:00:00,606.1945454545455,550,11.725454545454545,67.84727272727272,550,0,12,1,18,12:00:00
10,539,2018-05-01 12:30:00,592.7142857142857,539,1.5473098330241188,14.675324675324676,539,30,12,1,18,12:30:00
11,518,2018-05-01 13:30:00,595.3938223938223,518,4.527027027027027,36.8938223938224,518,30,13,1,18,13:30:00
12,533,2018-05-01 14:30:00,603.7617260787993,533,3.6135084427767357,68.15384615384616,533,30,14,1,18,14:30:00
13,473,2018-05-01 15:00:00,591.5496828752642,473,3.5475687103594082,110.34249471458774,473,0,15,1,18,15:00:00
14,446,2018-05-01 15:30:00,647.9035874439462,446,0.08968609865470852,6.533632286995516,446,30,15,1,18,15:30:00
15,467,2018-05-01 16:30:00,563.2847965738758,467,3.9229122055674517,95.59743040685225,467,30,16,1,18,16:30:00
16,304,2018-05-01 17:30:00,620.5493421052631,304,21.55592105263158,267.2236842105263,304,30,17,1,18,17:30:00
17,211,2018-05-01 18:00:00,526.2417061611375,211,30.649289099526065,217.65402843601896,211,0,18,1,18,18:00:00
18,154,2018-05-01 18:30:00,533.3181818181819,154,1.6168831168831168,48.214285714285715,154,30,18,1,18,18:30:00
20,3,2018-05-01 19:30:00,301.0,3,0.0,0.6666666666666666,3,30,19,1,18,19:30:00
26,105,2018-05-02 07:30:00,489.79047619047617,105,0.0,2.1809523809523808,105,30,7,2,18,07:30:00
27,210,2018-05-02 08:00:00,539.4238095238095,210,11.68095238095238,13.652380952380952,210,0,8,2,18,08:00:00
28,233,2018-05-02 08:30:00,600.2145922746781,233,0.0,2.609442060085837,233,30,8,2,18,08:30:00
29,418,2018-05-02 09:00:00,595.6578947368421,418,0.4784688995215311,12.160287081339712,418,0,9,2,18,09:00:00
30,441,2018-05-02 09:30:00,611.8707482993198,441,5.160997732426304,57.35374149659864,441,30,9,2,18,09:30:00
31,417,2018-05-02 10:00:00,562.189448441247,417,11.155875299760192,67.14148681055156,417,0,10,2,18,10:00:00
32,445,2018-05-02 10:30:00,614.8134831460674,445,20.714606741573032,43.69662921348315,445,30,10,2,18,10:30:00
33,422,2018-05-02 11:30:00,680.3625592417062,422,1.2180094786729858,3.4075829383886256,422,30,11,2,18,11:30:00
34,436,2018-05-02 12:00:00,576.5550458715596,436,0.15825688073394495,4.896788990825688,436,0,12,2,18,12:00:00
35,464,2018-05-02 12:30:00,629.3943965517242,464,0.0,2.5,464,30,12,2,18,12:30:00
36,387,2018-05-02 13:30:00,618.3617571059432,387,2.1731266149870803,7.069767441860465,387,30,13,2,18,13:30:00
37,413,2018-05-02 14:30:00,573.8377723970945,413,0.3075060532687651,3.774818401937046,413,30,14,2,18,14:30:00
38,356,2018-05-02 15:00:00,532.556179775281,356,0.0,1.3792134831460674,356,0,15,2,18,15:00:00
39,363,2018-05-02 15:30:00,625.2561983471074,363,0.09917355371900827,1.7796143250688705,363,30,15,2,18,15:30:00
40,378,2018-05-02 16:30:00,651.8915343915344,378,4.5,112.3015873015873,378,30,16,2,18,16:30:00
